model,nLL,AIC,AIC_delta,AIC_weight,pop,mode,s,mu,h
full,-98390.52714287929,-196775.05428575858,0,0.9999999999316547,v5--LR--Amatlan_de_Canas.100000BP,beta,0.05736152510448681,3e-8,0.5
full,-97520.81847940822,-195035.63695881644,0,0.6494044932648162,v5--LR--Crucero_Lagunitas.100000BP,beta,0.05736152510448681,3e-8,0.5
full,-98526.1596227702,-197046.3192455404,0,0.99999999999779,v5--LR--Los_Guajes.100000BP,beta,0.05736152510448681,3e-8,0.5
full,-96272.03208498981,-192538.06416997963,0,0.9661929217925996,v5--LR--Palmar_Chico.100000BP,beta,0.03290344562312671,3e-8,0.5
full,-97556.23898794405,-195106.4779758881,0,0.9999987264824888,v5--LR--random.100000BP,beta,0.05736152510448681,3e-8,0.5
full,-98327.88333015023,-196649.76666030046,0,0.7830216055570484,v5--LR--random1_Palmar_Chico.100000BP,beta,0.03290344562312671,3e-8,0.5
full,-98461.35288450369,-196916.70576900739,0,0.9506946157783837,v5--LR--random2_Palmar_Chico.100000BP,beta,0.05736152510448681,3e-8,0.5
full,-97961.49779289383,-195916.99558578766,0,0.9999999999988098,v5--LR--San_Lorenzo.100000BP,beta,0.05736152510448681,3e-8,0.5
full,-98400.19876203749,-196794.39752407497,0,0.6490959540576207,v5--Teo--Amatlan_de_Canas.100000BP,beta,1.6102620275609392e-7,3e-8,0.5
full,-96472.87658932451,-192939.75317864903,0,0.9995599031438798,v5--Teo--Crucero_Lagunitas.100000BP,beta,2.807216203941176e-7,3e-8,0.5
full,-97127.94105707931,-194249.88211415862,0,0.991156483135845,v5--Teo--El_Rodeo.100000BP,beta,1.6102620275609392e-7,3e-8,0.5
full,-100336.0009878949,-200666.0019757898,0,0.9942388514394845,v5--Teo--Los_Guajes.100000BP,beta,2.807216203941176e-7,3e-8,0.5
full,-95714.59935516409,-191423.19871032817,0,0.999999999999994,v5--Teo--Palmar_Chico.100000BP,beta,2.807216203941176e-7,3e-8,0.5
full,-100073.66083889302,-200141.32167778604,0,0.9999999999999418,v5--Teo--random.100000BP,beta,2.807216203941176e-7,3e-8,0.5
full,-97002.20741026282,-193998.41482052565,0,0.999999999991702,v5--Teo--random1_Palmar_Chico.100000BP,beta,2.807216203941176e-7,3e-8,0.5
full,-97443.14758285505,-194880.2951657101,0,0.9999999999998583,v5--Teo--random2_Palmar_Chico.100000BP,beta,2.807216203941176e-7,3e-8,0.5
full,-96882.67055433545,-193759.3411086709,0,0.8184535177720166,v5--Teo--San_Lorenzo.100000BP,beta,4.893900918477499e-7,3e-8,0.5
